,comment-en,comment-mg,sentiment
0,"However, towards the end of the game the graphics start to suck.","Na izany aza, amin'ny faran'ny lalao dia manomboka manjavozavo ny sary.",-1
1,"And Billy--well, of course, of course.","Ary Billy--eny, mazava ho azy, mazava ho azy.",1
2,They just come rushing towards you.,Mirohotra mankany aminao fotsiny izy ireo.,-1
3,"I tried to like this album, and it's definently hard admitting it to myself that Ani put out a bad album, but she has.","Niezaka nitia an'ity rakikira ity aho, ary tena sarotra ny miaiky fa namoaka rakikira ratsy i Ani, saingy manana izany izy.",-1
4,Makes it tough for use in a mixed environment.,Mahatonga azy ho sarotra ampiasaina amin'ny tontolo mifangaro.,-1
5,"And the drummer, he is so good, he keeps it in, out, and in the middle of the pocket, and his pork chops, they are so salty, if you licked it you would have to wince.","Ary ny mpitendry amponga, dia tena tsara izy, dia mitazona izany ao anatiny, ivelany, ary eo afovoan'ny paosy, ary ny henan-kisoany, dia masira be, raha milelaka azy ianao dia tsy maintsy mihetsiketsika.",-1
6,Glad I didn't take it back.,Faly aho fa tsy naveriny.,1
7,This Linksys just didn't want to play.,Ity Linksys ity dia tsy te hilalao fotsiny.,-1
8,"But the Oh, my gosh!",Fa ny Tompo ô!,-1
9,You got to be the scorpion king and learn to kick bad guy butt while also dishing out insults.,Tsy maintsy ho mpanjakan'ny maingoka ianao ary mianatra mandaka ny vodin'ny olon-dratsy ary manala baraka.,1
10,"When I went to charge it, it would charge for a few minutes, and then stop.","Rehefa nandeha namaky azy aho, dia ni-charge nandritra ny minitra vitsivitsy, ary nijanona.",-1
11,I gave this film a 2/10. A point for the only two good scenes in this film.,Nomeko 2/10 ity sarimihetsika ity. Teboka iray ho an'ireo sehatra roa tsara amin'ity sarimihetsika ity.,-1
12,Some explanations seem to be too simplistic.,Toa tsotra loatra ny fanazavana sasany.,-1
13,"so again, i wouldnt advise any of u to buy it.","noho izany indray, tsy manoro hevitra na iza na iza aminareo aho mba hividy izany.",-1
14,It is very much like the way the 51' movie portrayed them.,Tena mitovy amin'ny fomba nanehoan'ilay sarimihetsika 51' azy ireo.,-1
15,"I couldn't be happier with the wide lens, aperture control ring, manual functions, scene pre-settings, overall low light performance, and ease of customization this little camera offers.","Tsy afaka ny ho faly kokoa aho tamin'ny fakan-tsary midadasika, peratra fanaraha-maso aperture, fampiasa amin'ny tanana, fandrindrana mialoha ny sehatra, fampisehoana maivana ambany amin'ny ankapobeny, ary fanamorana ny fanamboarana ity fakantsary kely ity.",1
16,"Told through interactions of a master and his student, Ishmael presents a view of history in a very different, and for some the real, light.","Nolazaina tamin'ny alalan'ny fifandraisan'ny tompo iray sy ny mpianany, i Ismaela dia maneho ny fomba fijery ny tantara amin'ny fomba tena hafa, ary ho an'ny sasany ny tena fahazavana.",1
17,"What?!? Come on, that was ridiculous.","Inona?!? Avia, mampihomehy izany.",-1
